STT,Tên File,Link Chia Sẻ,Loại File
18,Ngay018-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-14102025 - Tiêu chí của nghề ước mơ,https://docs.google.com/document/d/1Sr5C_LjCM4ZLDipzw7GKFk4v-a3XaNeHKC_rmacSs0A/edit?usp=drivesdk,application/vnd.google-apps.document
19,Ngay019-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-15102025 - Làm sao để trở thành nhân tài trong nghề của chúng ta,https://docs.google.com/document/d/15DqB2g2-NNFMu4VfiWgbAXbGF-X4DcuEUFU0xrtwsJE/edit?usp=drivesdk,application/vnd.google-apps.document
20,Ngay020-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-16102025 - Cuộc sống ước mơ lục lộc đại thuận,https://docs.google.com/document/d/1oRWB46K9kNsORD6TRGJJGaeHVaAngudmlQpe3JC8ANw/edit?usp=drivesdk,application/vnd.google-apps.document
21,Ngay021-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-17102025 - Tự do thời gian - tự do tài chính,https://docs.google.com/document/d/111Eq_sS38_gMFEScjLn6tTHokB0JL-KsoxKMryLV-kY/edit?usp=drivesdk,application/vnd.google-apps.document
22,Ngay022-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-20102025 - Hôn nhân hòa hợp - Chu du thế giới,https://docs.google.com/document/d/1tPoIQrcxUPhQtJlk4AWQRFLseSNLW39Hw-67rnPq26o/edit?usp=drivesdk,application/vnd.google-apps.document
23,Ngay023-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-21102025 - 5 cấp độ mối quan hệ - Sức khỏe là số 1,https://docs.google.com/document/d/1SfZhJFggw4v0_Q1uTcsFtbElNcX7TpP0-lHBQ7d2j2I/edit?usp=drivesdk,application/vnd.google-apps.document
24,Ngay024-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-22102025 - Chất lượng cuộc sống - Cảnh giới cuộc sống - Trạng thái sống - Mức độ phát triển,https://docs.google.com/document/d/1DHvnTGfGuooo14s4eUd-AixMCtqa6VFKum_ie7PtXug/edit?usp=drivesdk,application/vnd.google-apps.document
25,Ngay025-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-23102025 - Trưởng thành tận cùng,https://docs.google.com/document/d/1S0A5EMTWw1v9_cGYWuUOyDZEmwUyaW8q3IRAaQlz98U/edit?usp=drivesdk,application/vnd.google-apps.document
26,Ngay026-P💎 2. QUẢ NHƯ Ý - 10 BUỔI-24102025 - Lộ trình nâng cao cảnh giới cuộc sống,https://docs.google.com/document/d/1T02RR4dI0Xz8j9pnR4jXM6BWIi4Xgv1M6Sxtq9ziC44/edit?usp=drivesdk,application/vnd.google-apps.document
27,Ngay027-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-25102025 - Thông báo từ cô Lê Quế Minh,https://docs.google.com/document/d/1CLaLj6ygmqQsXwDz-iI7LkeEEe5CHA22Dcvur5D1u00/edit?usp=drivesdk,application/vnd.google-apps.document
28,Ngay028-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-27102025 - Tam giác hiện thực,https://docs.google.com/document/d/18sKcHgb9TKXmDxXC5RsZztMl72A4cDxB8oZyHhZJuY8/edit?usp=drivesdk,application/vnd.google-apps.document
29,Ngay029-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-28102025 - Tam giác hiện thực của hạnh phúc - thành công,https://docs.google.com/document/d/14brWY1gzBWa_Rq8_B64sk8j1gbqw67ju1uCy4-o0gmM/edit?usp=drivesdk,application/vnd.google-apps.document
30,Ngay030-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-29102025 - Tam giác hiện thực,https://docs.google.com/document/d/1JP7ow0Ztl397hEl1WHJ126mK0ZERnlWzyL9qazCUDIo/edit?usp=drivesdk,application/vnd.google-apps.document
31,Ngay031-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-30102025 - Tam giác hiện thực,https://docs.google.com/document/d/12TySSY0m-KQrwZVgrpW4jA3SHoDTIEU6On7GVxAL0Dc/edit?usp=drivesdk,application/vnd.google-apps.document
32,Ngay032-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-31102025 - Công thức cội nguồn cuộc sống,https://docs.google.com/document/d/1fKJeMcNKIoN94kLYUs35vBkhmsi8mYgkIHV-8smkda8/edit?usp=drivesdk,application/vnd.google-apps.document
33,Ngay033-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-3112025 - Công thức cội nguồn cuộc sống,https://docs.google.com/document/d/1EwNUg1DHQ5vOfY2dg0lBnyLwZidP-A633nxuFPFGMKE/edit?usp=drivesdk,application/vnd.google-apps.document
34,Ngay034-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-4112025 - Cấu trúc con người,https://docs.google.com/document/d/1uEpGA-xxlMkLPJhQT_uSIbMandCwhMtlFnv_WhrG-tY/edit?usp=drivesdk,application/vnd.google-apps.document
35,Ngay035-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-5112025 - Cấu trúc con người,https://docs.google.com/document/d/1zwWUrUMNfFMcr3MSvqAHkwj871Kx4Cq_IKpWbpj_xFw/edit?usp=drivesdk,application/vnd.google-apps.document
36,Ngay036-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-6112025 - Quy luật âm dương trong cấu trúc con người,https://docs.google.com/document/d/14DC8U_nCd5Bw2QoqzypXa8nRNQRTgd9VZaUNuF8Wv4U/edit?usp=drivesdk,application/vnd.google-apps.document
37,Ngay037-P💎 3. 3 HỆ QUY CHIẾU - 10 BUỔI-7112025 - Tổng nghiệp - Công đức - phước đức,https://docs.google.com/document/d/1xltYiIui2d9WHnVh_wcE967fd1ni5Ns2yUlEKFmddIk/edit?usp=drivesdk,application/vnd.google-apps.document
38,Ngay028-P💎 4. PHƯƠNG PHÁP HỌC TẬP - 5 BUỔI-27102025 - Phương pháp học tập,https://docs.google.com/document/d/1S4bMQIXr9UnZjcUN9IuIu_De2gqLm3KPY81zS2RVrRo/edit?usp=drivesdk,application/vnd.google-apps.document
39,Ngay029-P💎 4. PHƯƠNG PHÁP HỌC TẬP - 5 BUỔI-28102025 - Phương pháp gia tốc,https://docs.google.com/document/d/1jDLZjmTFa7rLuciZT5y54nrp6Nz9aqS9iLfLS3j-ReI/edit?usp=drivesdk,application/vnd.google-apps.document
40,Ngay030-P💎 4. PHƯƠNG PHÁP HỌC TẬP - 5 BUỔI-29102025 - Phương pháp gia tốc,https://docs.google.com/document/d/12UVkdnlS18TiDxL3ygHPWSZQEX39-TaGNzg2-JW_kCw/edit?usp=drivesdk,application/vnd.google-apps.document
41,Ngay031-P💎 4. PHƯƠNG PHÁP HỌC TẬP - 5 BUỔI-30102025 - Cách làm bài tiểu luận,https://docs.google.com/document/d/174VkRN8byOGeOkx5XkRje5ILXnRoOwSDViYW5_Pi5i4/edit?usp=drivesdk,application/vnd.google-apps.document
42,Ngay038-P💎 4. PHƯƠNG PHÁP HỌC TẬP - 5 BUỔI-8112025 - Thông báo của thầy Công Danh giải Chạy Về Thanh Xuân,https://docs.google.com/document/d/1UqxyJVVF90GfviIgTukyV3nJimwFS0Ul99M6me75ujA/edit?usp=drivesdk,application/vnd.google-apps.document
43,Ngay032-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-31102025 - Phương pháp gia tốc,https://docs.google.com/document/d/1upbXg57maB6vTy-whBRL89Pn_NOdmOybyNygb5cZ2Zk/edit?usp=drivesdk,application/vnd.google-apps.document
44,Ngay039-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-10112025 - Làm giàu trí tuệ - tâm thái,https://docs.google.com/document/d/11aDoF716OgdJfo8tSP6S9-8dobghARbB0cxvKH_gI5Q/edit?usp=drivesdk,application/vnd.google-apps.document
45,Ngay040-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-11112025 - Các tầng bậc trí tuệ,https://docs.google.com/document/d/12Lu4VUJfBXrTPNllX3l8CxPCgdUZ3ObUqDt4Kqt1WEA/edit?usp=drivesdk,application/vnd.google-apps.document
46,Ngay041-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-12112025 - Các tầng bậc trí tuệ - Trí tuệ bậc 1,https://docs.google.com/document/d/1VhUzMzAa-Yx5LADjE1P_YEPshfWyUCjbVjOhCA6SYFA/edit?usp=drivesdk,application/vnd.google-apps.document
47,Ngay042-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-13112025 - Các tầng bậc trí tuệ - Trí tuệ bậc 2,https://docs.google.com/document/d/11LqLiv7Oei7oYfuy75kgCRavve-5l_oDBI9IJGFUue4/edit?usp=drivesdk,application/vnd.google-apps.document
48,Ngay043-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-14112025 - Trí tuệ bậc 3 - Tánh không - Tính không,https://docs.google.com/document/d/12lw2qWyD4wMg5s_5036nLzIzbZZFwinqag0o74i53tQ/edit?usp=drivesdk,application/vnd.google-apps.document
49,Ngay044-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-17112025 - Trí tuệ bậc 3,https://docs.google.com/document/d/1q1L__EqY2DBeRCk-9JGQH41XaFtBK_CQS49RZ9Fxavw/edit?usp=drivesdk,application/vnd.google-apps.document
50,Ngay045-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-18112025 - An vui - Tâm thái an vui,https://docs.google.com/document/d/1wxKnVUzCmgpZoHBC8kr8dQQpjuRWQiKRC_0rttNEbz4/edit?usp=drivesdk,application/vnd.google-apps.document
51,Ngay046-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-19112025 - Bao dung,https://docs.google.com/document/d/1QQDoaSurtiwcjaieivkGJbFSEzeYEYbz-xxoWc27eVo/edit?usp=drivesdk,application/vnd.google-apps.document
52,Ngay047-P💎 5. LÀM GIÀU TRÍ TUỆ VÀ TÂM THÁI - 10 BUỔI-20112025 - Trân trọng biết ơn,https://docs.google.com/document/d/11fbBZSVG-hmLQJBj-6V3ExxKYOyi7aUltbav6qB8qkE/edit?usp=drivesdk,application/vnd.google-apps.document
53,Ngay048-P💎 6. QUY LUẬT NHÂN DUYÊN QUẢ - 5 BUỔI-21112025 - Tam giác hiện thực của trí tuệ,https://docs.google.com/document/d/1uAESlbRx-1KImBPQkpz0jIFUeNw76DfS_fvRdF-rvfg/edit?usp=drivesdk,application/vnd.google-apps.document
54,Ngay049-P💎 6. QUY LUẬT NHÂN DUYÊN QUẢ - 5 BUỔI-24112025 - Quy luật nhân duyên quả,https://docs.google.com/document/d/1NAFFWkDBj76eETzXAq7FuiIOMnKg9fGg0fOxc8GsBNQ/edit?usp=drivesdk,application/vnd.google-apps.document
55,Ngay050-P💎 6. QUY LUẬT NHÂN DUYÊN QUẢ - 5 BUỔI-25112025 - Đồ hình hiện thực nhân sinh - Công thức cội nguồn cuộc sống,https://docs.google.com/document/d/1MzCAzdlLbE7UFia7_RL8Foeg3ncvm9Zg7TrfZpMHxTU/edit?usp=drivesdk,application/vnd.google-apps.document
56,Ngay051-P💎 6. QUY LUẬT NHÂN DUYÊN QUẢ - 5 BUỔI-26112025 - Cấu trúc con người - Tần số rung động năng lượng - Vật chất - Không gian - Thời gian,https://docs.google.com/document/d/1vG8iuHWlwkvaoyIsnQgajA_yMncuOK99Jlv_fDrBWfc/edit?usp=drivesdk,application/vnd.google-apps.document
57,Ngay052-P💎 6. QUY LUẬT NHÂN DUYÊN QUẢ - 5 BUỔI-27112025 - Ác đức - Phước đức - Công đức,https://docs.google.com/document/d/1SVK_chbWT2a3skCDMQ3BECsu1AmMsxGzYBV-gEoLtsw/edit?usp=drivesdk,application/vnd.google-apps.document
58,Ngay053-P💎 7. KIỆN TOÀN NHÂN CÁCH - 5 BUỔI-28112025 - Tam giác hiện thực,https://docs.google.com/document/d/1V3U0hxrN-eyajv1PLOdAPHV4mjLazdqSOjn1zV98J7k/edit?usp=drivesdk,application/vnd.google-apps.document
59,Ngay054-P💎 7. KIỆN TOÀN NHÂN CÁCH - 5 BUỔI-01122025 - Nhân cách - Nhân tốt,https://docs.google.com/document/d/1sVqkjWJ7Yh-JYezA3larBaZpqhnfcIeXpg_dl8FhEao/edit?usp=drivesdk,application/vnd.google-apps.document
60,Ngay055-P💎 7. KIỆN TOÀN NHÂN CÁCH - 5 BUỔI-02122025 - 9 nhân cách kiện toàn - Giàu nhân cách,https://docs.google.com/document/d/1KguStSk7OfmV1EAF2u6mcAr_B0YCQ8T5aKoJvqXEw6U/edit?usp=drivesdk,application/vnd.google-apps.document
61,Ngay056-P💎 7. KIỆN TOÀN NHÂN CÁCH - 5 BUỔI-03122025 - Nhân cách vui vẻ - Niềm tin,https://docs.google.com/document/d/19Q7M41ifyRn647rYjmWcgjsYL6U_9CkAxqUWhjkl6lI/edit?usp=drivesdk,application/vnd.google-apps.document
62,Ngay057-P💎 7. KIỆN TOÀN NHÂN CÁCH - 5 BUỔI-04122025 - Nhân cách hy vọng - Trí tuệ - Bao dung - Trân trọng biết ơn - Yêu thương,https://docs.google.com/document/d/19P_RDrfgoJDC7Gu5Agam32IBEYHvGSSDbOdPDWBOoZQ/edit?usp=drivesdk,application/vnd.google-apps.document
63,Ngay058-P💎 7. KIỆN TOÀN NHÂN CÁCH - 5 BUỔI-05122025 - Nhân cách khiêm tốn - Chân thật,https://docs.google.com/document/d/1CO3uyu4kY46K-avS2_ahoyFYszJZTSnQ-C5XQsSd5iU/edit?usp=drivesdk,application/vnd.google-apps.document
64,Ngay059-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-06122025 - Cô Minh dặn dò thi cử,https://docs.google.com/document/d/1pWc1rKWiyXywWu-PA79YARotBdlXoWjgOc3PYzJOLIE/edit?usp=drivesdk,application/vnd.google-apps.document
65,Ngay060-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-08122025 - 5 phẩm chất ưu tú - Cô Hannah Nguyễn Hoàng Anh,https://docs.google.com/document/d/13EM_qN1STJCig5fQuvYkHw-Bq7lWpy4VWiZzinziO1M/edit?usp=drivesdk,application/vnd.google-apps.document
66,"Ngay061-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-09122025 - Nhân yêu thương sinh hóa ra lễ, nghĩa, trí, tín - 5 phẩm chất ưu tú - Cô Hannah Nguyễn Ho",https://docs.google.com/document/d/1cDsuArOxJdzRZOBzwOjw840j_EXIgmH0mzXtg7JRKrU/edit?usp=drivesdk,application/vnd.google-apps.document
67,Ngay062-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-10122025 - YÊU THƯƠNG khác LUYẾN ÁI - TAM GIÁC HIỆN THỰC CỦA YÊU THƯƠNG - Cô Hannah Nguyễn Hoàng Anh,https://docs.google.com/document/d/18Rls6Q3GCA2jJzfqega5TI8Q7wQqXvTJNvUIFQL777Q/edit?usp=drivesdk,application/vnd.google-apps.document
68,Ngay063-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-11122025 - 4 tầng bậc của yêu thương - Tầng bậc 1 yêu thương có điều kiện - Cô Diệu Hiền lên lớp vì,https://docs.google.com/document/d/1gg-_wxzlf8qPNtRYAHngZ6DMEJoEcX6hyhmNB5tP0Bk/edit?usp=drivesdk,application/vnd.google-apps.document
69,"Ngay064-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-12122025 - 4 tầng bậc của yêu thương - 3 tầng bậc còn lại 2,3,4 - Cô Hannah Nguyễn Hoàng Anh",https://docs.google.com/document/d/1fT4SMjjkss-cdmI0CfUlDFu4MMxwM0_tLBTF6aSNbIU/edit?usp=drivesdk,application/vnd.google-apps.document
70,Ngay065-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-13122025 - Thầy Thắng dặn dò bơi lội,https://docs.google.com/document/d/1cO1NJFMCbZ6G5aSLP9nbIv9rsU4dXNSjERO9L_-FcWQ/edit?usp=drivesdk,application/vnd.google-apps.document
71,Ngay067-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-16122025 - Phẩm chất trí - Cô Hannah Nguyễn Hoàng Anh,https://docs.google.com/document/d/1Jnb51w1zzHTxQcMOzLk1-Gf5sQMURSjJ48p8eOZr7iE/edit?usp=drivesdk,application/vnd.google-apps.document
72,Ngay066-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-15122025 - TIỀN ĐỂ LÀM GÌ - Cô Hannah Nguyễn Hoàng Anh,https://docs.google.com/document/d/1LATuOigA72T_Emi2O_D-mI_tXZgAI4RISy-2TmSP_cs/edit?usp=drivesdk,application/vnd.google-apps.document
73,Ngay068-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-17122025 - Phẩm chất lễ - Cô Hannah Nguyễn Hoàng Anh,https://docs.google.com/document/d/10X2hDDtO0CiBGi5jErCbgKGUrCgy-8lkC_6yQB6zfMo/edit?usp=drivesdk,application/vnd.google-apps.document
74,Ngay069-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-18122025 - Phẩm chất nghĩa - Cô Lê Quế Minh,https://docs.google.com/document/d/1e7ibLnEKTXVU82hV54kkONYsHDTxHvgTl4kbO6g4V6g/edit?usp=drivesdk,application/vnd.google-apps.document
75,Ngay070-P💎 8. PHẨM CHẤT ƯU TÚ - 10 BUỔI-19122025 - Phẩm chất tín - Cô Lê Quế Minh,https://docs.google.com/document/d/1ytqjZxBKvh9rmgFSuqHTLZgX3qSrP5Eq9-jX0GyML7U/edit?usp=drivesdk,application/vnd.google-apps.document
76,Ngay060-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-08122025 - Sức khỏe sắc đẹp,https://docs.google.com/document/d/1mt2RhohIHt5jbo3l8ASb1tk9BprZoLURl1Tg4yob2X0/edit?usp=drivesdk,application/vnd.google-apps.document
77,Ngay061-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-09122025 - Tiêu chuẩn sắc đẹp,https://docs.google.com/document/d/1eKkDwuentnwNFxxgW1J8q-07TB2QzG87jdlvTTILZEo/edit?usp=drivesdk,application/vnd.google-apps.document
78,Ngay062-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-10122025 - Vai trò của nam - nữ - Làm giàu từng khía cạnh khác nhau,https://docs.google.com/document/d/1FARPjiHhUN8ARbOUDTl4X_2prSinvtGcU7PJzQ4tWOg/edit?usp=drivesdk,application/vnd.google-apps.document
79,Ngay063-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-11122025 - Vẻ bề ngoài Thân - Diện - Thân cho nam và nữ,https://docs.google.com/document/d/1PxP2muKi5Nx4ViJoTXEPpyi2FJ3pFJBN3QDg-oAhtl8/edit?usp=drivesdk,application/vnd.google-apps.document
80,Ngay064-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-12122025 - Diện,https://docs.google.com/document/d/1vp4aqWMkHl3pPb7tkNDXCWDyhdH-VbhKi_7aPnRz3hM/edit?usp=drivesdk,application/vnd.google-apps.document
81,Ngay066-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-15122025 - 7 quan niệm chuẩn về sắc đẹp - Quan niệm 1 Sắc đẹp là ưu tiên hàng đầu - Ngày 1312 không,https://docs.google.com/document/d/1qD7zQlfQDUu0oZ5PifeQOtLP6tgghg3vkb5s8pC891E/edit?usp=drivesdk,application/vnd.google-apps.document
82,Ngay067-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-16122025 - 7 quan niệm chuẩn về sắc đẹp - Quan niệm 2 và 3 - Thứ tự ưu tiên các công việc quan trọng,https://docs.google.com/document/d/1Syxt-_6AKB7PLRjrpCG1rH1cdIofYiHu0nfuZo6MG1Y/edit?usp=drivesdk,application/vnd.google-apps.document
83,Ngay068-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-17122025 - QUAN NIỆM SỐ 4 - TỰ MÌNH LÀM ĐẸP - ĐẸP TRỌN ĐỜI,https://docs.google.com/document/d/1BbfQa0MzOgcn_8yn7-lURzs9FQe0mq-ZNTniHeIoPVI/edit?usp=drivesdk,application/vnd.google-apps.document
84,Ngay069-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-18122025 - QUAN NIỆM SỐ 5,https://docs.google.com/document/d/1eJYuI66JSR76i3steV_MIlmerDToSmU9Me91K9etcPI/edit?usp=drivesdk,application/vnd.google-apps.document
85,Ngay070-P💎 10. TƯ VẤN HUẤN LUYỆN - 1 BUỔI-19122025 - NĂNG LỰC LÀM ĐẸP,https://docs.google.com/document/d/1W6eWlThJpSJJP7HluIXuuDQcLOe8VJSjxg9jHfQ-ndk/edit?usp=drivesdk,application/vnd.google-apps.document
86,Ngay071-P💎 9. THẤU HIỂU SẮC ĐẸP - KIẾN TẠO AN VUI - 10 BUỔI-20122025 - Tổng kết học phần phẩm chất - 1 số lưu ý trọng điểm khi thi cử - Cô Lê Quế Minh,https://docs.google.com/document/d/1zWVJ50cHu73JO0Ie-x4jpciFg4tDFZtrNSfJIkTM2Lk/edit?usp=drivesdk,application/vnd.google-apps.document
87,Ngay065-P💎 11. QUY LUẬT TỰ NHIÊN VÀ XÃ HỘI - 10 BUỔI-13122025 - Tư vấn huấn luyện - Thầy Nhật Anh giao lưu cả ngày,https://docs.google.com/document/d/1EFqcVsLjf07DlIQk4ikJyXJ4EjheLhkpzwpryGQNeeU/edit?usp=drivesdk,application/vnd.google-apps.document
88,Ngay072-P💎 11. QUY LUẬT TỰ NHIÊN VÀ XÃ HỘI - 10 BUỔI-22122025 - Quy luật tâm thức - Cô Nguyễn Thị Bích Nga,https://docs.google.com/document/d/15cxlf1PlgoHqY57zAVNyPz2AisewW41ZDybONWNQH3I/edit?usp=drivesdk,application/vnd.google-apps.document
